Part Number,Collection,Color,Category,Action,Image Source,Image Number,Column,Filename,URL,Result
NC6500-WT-713-2C2OT-CV-SPT713,6500 - WT,Canvas Navy,Furniture,New image downloaded,Wayfair,3,Wayfair Image 3,1501e4e4c5d3bdad68689d71a01de39d.jpg,https://www.dropbox.com/scl/fi/025tas0xwwc2q7kn2c1qp/NC6500-WT-713-2C2OT-CV-SPT713_3.jpg?rlkey=v92aynl2lm1qbm2j7lefhs6vx&dl=1,ok
NC6500-WT-713-2C2OT-CV-SPT713,6500 - WT,Canvas Navy,Furniture,New image downloaded,Wayfair,4,Wayfair Image 4,cc10adcf4e04bc74916939d26e776006.jpg,https://www.dropbox.com/scl/fi/c2lxrupxkosn82pr4lu0i/NC6500-WT-713-2C2OT-CV-SPT713_4.jpg?rlkey=2cp7txbs75yocvrj3rtewf3j1&dl=1,ok
NC6500-WT-713-2C2OT-RHA-SPT713,6500 - WT,Relate Harbor,Furniture,New image downloaded,Wayfair,1,Wayfair Image 1,08da6ddf9cfd154ba64aa6c75baae17b.jpg,https://www.dropbox.com/scl/fi/qds9u0sqlqhzjheowbg59/NC6500-WT-713-2C2OT-RHA-SPT713_1.jpg?rlkey=ru2xw830ro9fgd5jljggxss5i&dl=1,ok
NC6500-WT-713-2C2OT-RHA-SPT713,6500 - WT,Relate Harbor,Furniture,New image downloaded,Wayfair,2,Wayfair Image 2,5843069f8336c449589e5e6373184dca.jpg,https://www.dropbox.com/scl/fi/u359w63u45o5ijfbrrv60/NC6500-WT-713-2C2OT-RHA-SPT713_2.jpg?rlkey=uoux0vgvp23qmdzuzfnzupjm3&dl=1,ok
NC6500-WT-713-2C2OT-SR-SPT713,6500 - WT,Shore Classic,Furniture,New image downloaded,Wayfair,4,Wayfair Image 4,1af909177fa559db412bbb218dc68f6f.jpg,https://www.dropbox.com/scl/fi/6nbbaf39yzeud32rymrcy/NC6500-WT-713-2C2OT-SR-SPT713_4.jpg?rlkey=hqr86sq4mw321m6zvea5rbv7z&dl=1,ok
NC6500-WT-713-2C2OT-SR-SPT713,6500 - WT,Shore Classic,Furniture,New image downloaded,Wayfair,5,Wayfair Image 5,2b2143e9a88dd5c472ed14f8de2a1076.jpg,https://www.dropbox.com/scl/fi/fg4e1x0tc03i0uithbrxq/NC6500-WT-713-2C2OT-SR-SPT713_5.jpg?rlkey=hy3ii9slnq6h8zjsf2l4whw9s&dl=1,ok
NC6500-WT-713-2SR-CFN,6500 - WT,Canvas Fern,Furniture,New image downloaded,Wayfair,5,Wayfair Image 5,3155b68a4ecf741ca864978e2231c58f.jpg,https://www.dropbox.com/scl/fi/zjhj7jro1kl1wo1oedo3y/NC6500-WT-713-2SR-CFN_5.jpg?rlkey=1rqk20bnazko1psxsotuxzdvs&dl=1,ok
NC6500-WT-713-2SR-HE,6500 - WT,Canvas Heather Beige,Furniture,New image downloaded,Wayfair,3,Wayfair Image 3,ad00a574d48509ea21c4f2d31fae00d4.jpg,https://www.dropbox.com/scl/fi/08ji72rev3g4dp6bdwast/NC6500-WT-713-2SR-HE_3.jpg?rlkey=rvagy43061upnhfm9ouseloca&dl=1,ok
NC6500-WT-713-2SR-HE,6500 - WT,Canvas Heather Beige,Furniture,New image downloaded,Wayfair,4,Wayfair Image 4,d6a954e33f48e7a14f2f102342e7dd73.jpg,https://www.dropbox.com/scl/fi/kohh5gy4qruvmly7vh1r0/NC6500-WT-713-2SR-HE_4.jpg?rlkey=c68vmqqe438j23369yrg5zw1c&dl=1,ok
NC6500-WT-713-2SR-HE,6500 - WT,Canvas Heather Beige,Furniture,New image downloaded,Wayfair,5,Wayfair Image 5,c08b91d47111f94bb4ce5a52f6b11062.jpg,https://www.dropbox.com/scl/fi/fs0c4e654vl77095lvxdw/NC6500-WT-713-2SR-HE_5.jpg?rlkey=4k8i9bk6ty6rkegs2gzvr5q4n&dl=1,ok
