Part Number,Collection,Color,Action,Details,Result
NCI2676-DG-304-001-01-SC,2676 - DG,Spectrum Cilantro,RENAME,NC->NCI: NC2676-DG-304-001-01-SC -> NCI2676-DG-304-001-01-SC,OK
NCI2676-DG-304-002-01-DD,2676 - DG,Direction Dew,RENAME,NC->NCI: NC2676-DG-304-002-01-DD -> NCI2676-DG-304-002-01-DD,OK
NCI2676-DG-304-002-01-CW,2676 - DG,Canvas White,RENAME,NC->NCI: NC2676-DG-304-002-01-CW -> NCI2676-DG-304-002-01-CW,OK
NCI2676-DG-304-002-01-RHA,2676 - DG,Relate Harbor,RENAME,NC->NCI: NC2676-DG-304-002-01-RHA -> NCI2676-DG-304-002-01-RHA,OK
NCI2676-DG-304-002-01-CV,2676 - DG,Canvas Navy,RENAME,NC->NCI: NC2676-DG-304-002-01-CV -> NCI2676-DG-304-002-01-CV,OK
NCI2676SECT-DG-304-052-01-SV,2676 - DG,Cast Silver,RENAME,NC->NCI: NC2676SECT-DG-304-052-01-SV -> NCI2676SECT-DG-304-052-01-SV,OK
NCI2676SECT-DG-304-052-01-RI,2676 - DG,Refuge Indigo,RENAME,NC->NCI: NC2676SECT-DG-304-052-01-RI -> NCI2676SECT-DG-304-052-01-RI,OK
NCI2676SECT-DG-304-052-01-SC,2676 - DG,Spectrum Cilantro,RENAME,NC->NCI: NC2676SECT-DG-304-052-01-SC -> NCI2676SECT-DG-304-052-01-SC,OK
NCI2676SECT-DG-304-052-01-CG,2676 - DG,Canvas Granite,RENAME,NC->NCI: NC2676SECT-DG-304-052-01-CG -> NCI2676SECT-DG-304-052-01-CG,OK
NCI2676SECT-DG-304-052-01-SD,2676 - DG,Spectrum Dove,RENAME,NC->NCI: NC2676SECT-DG-304-052-01-SD -> NCI2676SECT-DG-304-052-01-SD,OK
NCI2676SECT-DG-304-034-01-CW,2676 - DG,Canvas White,RENAME,NC->NCI: NC2676SECT-DG-304-034-01-CW -> NCI2676SECT-DG-304-034-01-CW,OK
